Student Name,Roll_No,Maths,Science,Social_Science,EVS,Music,
Student_1,1,54,49,82,34,83,
Student_2,2,44,54,46,52,86,
Student_3,3,43,55,77,41,38,
Student_4,4,86,81,76,45,59,
Student_5,5,100,92,66,34,62,
Student_6,6,70,42,85,47,86,
Student_7,7,40,91,65,61,66,
Student_8,8,91,35,100,36,63,
Student_9,9,42,75,77,100,41,
Student_10,10,75,99,68,35,67,
Student_11,11,61,56,87,77,61,
Student_12,12,38,65,69,95,87,
Student_13,13,92,67,80,45,36,
Student_14,14,72,44,56,35,74,
Student_15,15,72,93,33,65,54,
Student_16,16,55,75,37,40,72,
Student_17,17,48,45,70,75,59,
Student_18,18,60,93,78,72,99,
Student_19,19,61,56,65,100,64,
Student_20,20,97,43,44,61,67,
Student_21,21,50,68,64,50,87,
Student_22,22,99,99,77,90,44,
Student_23,23,40,79,64,49,88,
Student_24,24,37,84,81,66,73,
Student_25,25,43,83,42,58,73,
Student_26,26,59,83,33,55,93,
Student_27,27,84,56,47,35,76,
Student_28,28,100,100,75,58,62,
Student_29,29,54,84,47,38,67,
Student_30,30,90,62,64,34,86,
Student_31,31,49,87,83,100,40,
Student_32,32,74,68,50,98,52,
Student_33,33,42,34,99,98,47,
Student_34,34,40,77,66,90,66,
Student_35,35,57,40,41,92,89,
Student_36,36,63,35,79,38,38,
Student_37,37,56,40,98,72,84,
Student_38,38,98,84,98,88,79,
Student_39,39,36,64,47,51,62,
Student_40,40,89,38,99,92,37,
Student_41,41,93,98,66,58,89,
Student_42,42,42,92,60,60,80,
Student_43,43,64,94,44,64,90,
Student_44,44,68,50,100,55,51,
Student_45,45,68,47,85,80,69,
Student_46,46,33,95,61,71,74,
Student_47,47,83,57,84,90,90,
Student_48,48,63,58,93,87,62,
Student_49,49,79,68,88,46,95,
Student_50,50,55,41,61,71,43,
